id,rating,genre,year,director,star,company,runtime
416234,PG-13,Biography,2018,Michael Spierig,Helen Mirren,CBS Films,99.0
453201,PG-13,Biography,2018,Clint Eastwood,Alek Skarlatos,Warner Bros.,94.0
454283,R,Comedy,2018,Tim Kirkby,Johnny Knoxville,Paramount Pictures,85.0
458344,R,Comedy,2018,Jesse Peretz,Chris O'Dowd,Los Angeles Media Fund (LAMF),97.0
486947,R,Crime,2018,Gustav Möller,Jakob Cedergren,Nordisk Film / SPRING,85.0
423612,R,Biography,2018,Florian Henckel von Donnersmarck,Tom Schilling,Pergamon Film,189.0
429202,R,Drama,2018,Brady Corbet,Natalie Portman,Bold Films,114.0
541560,R,Horror,2018,Emma Tammi,Caitlin Gerard,Soapbox Films,88.0
50022,R,Comedy,2018,Jay Chandrasekhar,Jay Chandrasekhar,Votiv Films,99.0
501630,Not Rated,Comedy,2018,Becca Gleason,Joey King,Big Cat Productions,95.0
553882,R,Drama,2018,Joe Chappelle,Tika Sumpter,CorradoMooncoin,102.0
291984,R,Drama,2018,Xavier Dolan,Kit Harington,Lyla Films,123.0
499319,Not Rated,Comedy,2018,Miguel Arteta,Alia Shawkat,Duplass Brothers Productions,93.0
10144,G,Animation,1989,Ron Clements,Jodi Benson,Walt Disney Pictures,83.0
432527,Not Rated,Drama,2018,Sanjay Leela Bhansali,Deepika Padukone,Bhansali Productions,164.0
394741,PG,Biography,2018,Jon S. Baird,Steve Coogan,Entertainment One,98.0
500475,R,Action,2018,Director X.,Trevor Jackson,Columbia Pictures,116.0
387592,PG,Animation,2018,Nick Park,Eddie Redmayne,Summit Entertainment,89.0
470878,PG,Biography,2018,Andrew Erwin,J. Michael Finley,Kevin Downes Productions,110.0
489243,R,Drama,2018,Kim Nguyen,Jesse Eisenberg,Item 7,111.0
503314,PG,Animation,2018,Tatsuya Nagamine,Masako Nozawa,Toei Company,100.0
491473,R,Comedy,2018,Sebastián Lelio,Julianne Moore,Fabula,102.0
425505,PG-13,Action,2018,Jonathan Baker,Myles Truitt,Summit Entertainment,102.0
496743,R,Drama,2018,Pella Kagerman,Emelie Garbers,Film Capital Stockholm,106.0
442062,PG,Animation,2018,Ari Sandel,Wendi McLendon-Covey,Sony Pictures Animation,90.0
416194,PG-13,Action,2018,John Andreas Andersen,Kristoffer Joner,Fantefilm,106.0
65326,PG-13,Comedy,1986,Evelyn Purcell,Rosanna Arquette,Island Pictures,107.0
433627,PG-13,Action,2018,José Padilha,Batsheva Dance Company,Participant,107.0
505262,PG-13,Animation,2018,Kenji Nagasaki,Daiki Yamashita,Bones,96.0
534338,Unrated,Drama,2018,Perry Lang,David Strathairn,Astute Films,97.0
530385,R,Drama,2019,Ari Aster,Florence Pugh,A24,148.0
466272,R,Comedy,2019,Quentin Tarantino,Leonardo DiCaprio,Columbia Pictures,161.0
299534,PG-13,Action,2019,Anthony Russo,Robert Downey Jr.,Marvel Studios,181.0
445629,PG-13,Biography,2019,Stephen Merchant,Dwayne Johnson,Metro-Goldwyn-Mayer (MGM),108.0
9587,PG,Drama,1994,Gillian Armstrong,Susan Sarandon,Columbia Pictures,115.0
522681,PG-13,Action,2019,Adam Robitel,Taylor Russell,Columbia Pictures,99.0
535581,R,Comedy,2019,Jim Jarmusch,Bill Murray,Focus Features,104.0
475557,R,Crime,2019,Todd Phillips,Joaquin Phoenix,Warner Bros.,122.0
515195,PG-13,Comedy,2019,Danny Boyle,Himesh Patel,Decibel Films,116.0
48311,R,Horror,1982,Charles Band,Robert Glaudini,Embassy Pictures,85.0
458156,R,Action,2019,Chad Stahelski,Keanu Reeves,Lionsgate,130.0
546554,PG-13,Comedy,2019,Rian Johnson,Daniel Craig,Lionsgate,130.0
384018,PG-13,Action,2019,David Leitch,Dwayne Johnson,Chris Morgan Productions,137.0
299537,PG-13,Action,2019,Anna Boden,Brie Larson,Walt Disney Pictures,123.0
537915,PG-13,Drama,2019,Jenny Gage,Josephine Langford,CalMaple,105.0
429617,PG-13,Action,2019,Jon Watts,Tom Holland,Columbia Pictures,129.0
515001,PG-13,Comedy,2019,Taika Waititi,Roman Griffin Davis,TSG Entertainment,108.0
287947,PG-13,Action,2019,David F. Sandberg,Zachary Levi,Warner Bros.,132.0
474350,R,Drama,2019,Andy Muschietti,Jessica Chastain,New Line Cinema,169.0
530915,R,Drama,2019,Sam Mendes,Dean-Charles Chapman,Dreamworks Pictures,119.0
181812,PG-13,Action,2019,J.J. Abrams,Daisy Ridley,Walt Disney Pictures,141.0
359724,PG-13,Action,2019,James Mangold,Matt Damon,Chernin Entertainment,152.0
398978,R,Biography,2019,Martin Scorsese,Robert De Niro,Tribeca Productions,209.0
503919,R,Drama,2019,Robert Eggers,Robert Pattinson,A24,109.0
512200,PG-13,Action,2019,Jake Kasdan,Dwayne Johnson,Columbia Pictures,123.0
399579,PG-13,Action,2019,Robert Rodriguez,Rosa Salazar,Twentieth Century Fox,122.0
458723,R,Horror,2019,Jordan Peele,Lupita Nyong'o,Monkeypaw Productions,116.0
567609,R,Action,2019,Matt Bettinelli-Olpin,Samara Weaving,Fox Searchlight Pictures,95.0
1487,PG-13,Action,2004,Guillermo del Toro,Ron Perlman,Revolution Studios,122.0
290859,R,Action,2019,Tim Miller,Linda Hamilton,Paramount Pictures,128.0
535544,PG,Drama,2019,Michael Engler,Stephen Campbell Moore,Carnival Film & Television,122.0
453405,PG-13,Action,2019,Ang Lee,Will Smith,Skydance Media,117.0
505600,R,Comedy,2019,Olivia Wilde,Kaitlyn Dever,Annapurna Pictures,102.0
499701,PG,Adventure,2019,James Bobin,Isabela Merced,Paramount Players,102.0
450465,PG-13,Drama,2019,M. Night Shyamalan,James McAvoy,Buena Vista International,129.0
458131,PG-13,Biography,2019,Robin Bissell,Taraji P. Henson,Astute Films,133.0
393624,R,Biography,2019,Gavin Hood,Keira Knightley,Entertainment One,112.0
8587,G,Animation,1994,Roger Allers,Matthew Broderick,Walt Disney Pictures,88.0
812,G,Animation,1992,Ron Clements,Scott Weinger,Walt Disney Pictures,90.0
492188,R,Comedy,2019,Noah Baumbach,Adam Driver,Heyday Films,137.0
373571,PG-13,Action,2019,Michael Dougherty,Kyle Chandler,Warner Bros.,132.0
504608,R,Biography,2019,Dexter Fletcher,Taron Egerton,Paramount Pictures,121.0
540901,R,Comedy,2019,Lorene Scafaria,Constance Wu,Annapurna Pictures,110.0
107285,PG-13,Drama,1987,Yurek Bogayevicz,Sally Kirkland,Magnus Films,100.0
531428,R,Drama,2019,Céline Sciamma,Noémie Merlant,Lilies Films,122.0
301528,G,Animation,2019,Josh Cooley,Tom Hanks,Pixar Animation Studios,100.0
338967,R,Action,2019,Ruben Fleischer,Woody Harrelson,2.0 Entertainment,99.0
459992,R,Comedy,2019,Jonathan Levine,Charlize Theron,Summit Entertainment,125.0
423204,R,Action,2019,Ric Roman Waugh,Gerard Butler,Millennium Media,121.0
479455,PG-13,Action,2019,F. Gary Gray,Chris Hemsworth,Columbia Pictures,114.0
320288,PG-13,Action,2019,Simon Kinberg,James McAvoy,Twentieth Century Fox,113.0
330457,PG,Animation,2019,Chris Buck,Kristen Bell,Walt Disney Animation Studios,103.0
531309,R,Drama,2019,David Yarovesky,Elizabeth Banks,Screen Gems,90.0
419704,PG-13,Adventure,2019,James Gray,Brad Pitt,New Regency Productions,123.0
463257,PG-13,Adventure,2019,Tyler Nilson,Zack Gottsagen,Armory Films,97.0
521777,R,Adventure,2019,Gene Stupnitsky,Jacob Tremblay,Universal Pictures,90.0
502416,R,Horror,2019,Tate Taylor,Octavia Spencer,Blumhouse Productions,99.0
527641,PG-13,Drama,2019,Justin Baldoni,Haley Lu Richardson,CBS Films,116.0
438650,R,Action,2019,Hans Petter Moland,Liam Neeson,Summit Entertainment,119.0
511987,R,Action,2019,Alexandre Aja,Kaya Scodelario,Paramount Pictures,87.0
521029,R,Horror,2019,Gary Dauberman,Vera Farmiga,New Line Cinema,106.0
522938,R,Action,2019,Adrian Grunberg,Sylvester Stallone,Lionsgate,89.0
