id,rating,genre,year,director,star,company,runtime
567733,R,Crime,2019,John Stalberg Jr.,Beau Knapp,Yale Productions,105.0
527776,PG,Drama,2019,Alex Kendrick,Alex Kendrick,Affirm Films,119.0
464504,PG-13,Comedy,2019,Tyler Perry,Tyler Perry,The Tyler Perry Company,109.0
591774,Not Rated,Crime,2019,John Swab,Ron Perlman,Roxwell Films,93.0
567646,Not Rated,Action,2019,Byeong-heon Lee,Lee Dong-yong,About Film,111.0
565391,PG-13,Drama,2019,Noble Jones,John Lithgow,Symbolic Exchange,94.0
508791,PG-13,Drama,2019,Ry Russo-Young,Yara Shahidi,Alloy Entertainment,100.0
581998,PG,Comedy,2019,J.J. Englert,Peta Murgatroyd,Ellinas Multimedia,106.0
556271,Not Rated,Drama,2019,Abhishek Varman,Varun Dhawan,Dharma Productions,166.0
535144,Not Rated,Action,2019,Abhishek Chaubey,Sushant Singh Rajput,MacGuffin Pictures,143.0
611594,Not Rated,Drama,2019,Jagan Shakti,Akshay Kumar,Cape of Good Films,130.0
616584,Not Rated,Fantasy,2019,Melanie Martinez,Melanie Martinez,Atlantic Records,96.0
550485,Not Rated,Action,2019,Nikkhil Advani,Mrunal Thakur,Bake My Cake Films,146.0
454292,Not Rated,Action,2019,Sujeeth,Prabhas,UV Creations,170.0
517434,Not Rated,Action,2019,Sang-Geun Lee,Jo Jung-Suk,Filmmaker R&K,103.0
574163,R,Drama,2019,Van Ling,Tania Raymonde,The National Hellenic Society,137.0
486832,R,Drama,2019,Britt Poulton,Walton Goggins,Amasia Entertainment,98.0
576071,R,Biography,2019,Chuck Konzelman,Ashley Bratcher,Unplanned Movie,109.0
503129,Not Rated,Action,2019,Punit Malhotra,Tiger Shroff,Fox STAR Studios,146.0
571627,Not Rated,Action,2019,Joo-hwan Kim,Seo Jun Park,KeyEast,129.0
585062,Not Rated,Comedy,2019,Laxman Utekar,Kartik Aaryan,Maddock Films,126.0
590401,Not Rated,Comedy,2019,Akiv Ali,Ajay Devgn,Luv Films,135.0
603055,PG-13,Sport,2019,Alex Ranarivelo,Michael Roark,ESX Entertainment,94.0
553837,Not Rated,Animation,2019,Gorô Taniguchi,Jun Fukuyama,Sunrise,112.0
565326,Not Rated,Comedy,2019,Hannah Pearl Utt,Hannah Pearl Utt,Ball & Chain Productions,98.0
595172,PG,Animation,2019,Robert Fernandez,David Thorpe,Cat In The Mill Studio,108.0
564898,Not Rated,Drama,2019,Eddie Mensore,Terry Serpico,Emphatic Films,83.0
585862,Not Rated,Action,2019,Robbie Grewal,John Abraham,Kyta Productions,141.0
622654,TV-14,Action,2019,Le-Van Kiet,Veronica Ngo,Premiere Picture,98.0
411971,PG-13,Drama,2019,Ritesh Batra,Nawazuddin Siddiqui,Poetic License Production,110.0
555295,R,Horror,2019,Roxanne Benjamin,Karina Fontes,Protostar Pictures,87.0
898044,PG-13,Action,2019,Tony Chan,Xiaoming Huang,Bona Film Group,118.0
569594,Not Rated,Action,2019,Ali Abbas Zafar,Salman Khan,AVA Films & Entertainment,150.0
594345,Not Rated,Musical,2019,Mark Bramble,Bonnie Langford,Julian Marsh Pictures,155.0
